name,sex,births,year
William,M,696,2013
Charlotte,F,613,2013
Braxton,M,189,2013
Bella,F,131,2013
Oliver,M,630,2013
Olivia,F,551,2013
Christian,M,188,2013
Mila,F,129,2013
Jack,M,574,2013
Amelia,F,540,2013
Edward,M,187,2013
Summer,F,128,2013
Noah,M,555,2013
Chloe,F,517,2013
George,M,181,2013
Lara,F,125,2013
James,M,510,2013
Mia,F,517,2013
Luke,M,178,2013
Addison,F,121,2013
Lucas,M,471,2013
Emily,F,504,2013
Hugo,M,176,2013
Lilly,F,121,2013
Thomas,M,468,2013
Isabella,F,486,2013
Eli,M,171,2013
Victoria,F,120,2013
Lachlan,M,454,2013
Ava,F,483,2013
Luca,M,167,2013
Violet,F,117,2013
Cooper,M,453,2013
Sophie,F,449,2013
Nathan,M,161,2013
Poppy,F,117,2013
Liam,M,447,2013
Ruby,F,426,2013
Chase,M,161,2013
Anna,F,115,2013
Ethan,M,445,2013
Sophia,F,407,2013
Ashton,M,161,2013
Claire,F,114,2013
Jacob,M,428,2013
Ella,F,389,2013
Beau,M,160,2013
Phoebe,F,110,2013
Alexander,M,428,2013
Sienna,F,375,2013
Blake,M,159,2013
Lola,F,109,2013
Isaac,M,412,2013
Grace,F,369,2013
Lincoln,M,158,2013
Alyssa,F,108,2013
Joshua,M,408,2013
Lily,F,315,2013
Dylan,M,155,2013
Maya,F,107,2013
Samuel,M,399,2013
Ivy,F,312,2013
Marcus,M,153,2013
Aria,F,105,2013
Harrison,M,356,2013
Zoe,F,308,2013
Hayden,M,152,2013
Madeleine,F,104,2013
Benjamin,M,348,2013
Matilda,F,300,2013
Finn,M,150,2013
Eloise,F,103,2013
Mason,M,346,2013
Isla,F,299,2013
Kai,M,148,2013
Eliza,F,102,2013
Max,M,337,2013
Emma,F,282,2013
Archer,M,148,2013
Alexandra,F,100,2013
Charlie,M,326,2013
Evie,F,249,2013
Caleb,M,148,2013
Holly,F,100,2013
Jayden,M,321,2013
Hannah,F,248,2013
Nate,M,140,2013
Eden,F,99,2013
Henry,M,311,2013
Harper,F,237,2013
Toby,M,140,2013
Indiana,F,99,2013
Daniel,M,302,2013
Scarlett,F,237,2013
Connor,M,139,2013
Aaliyah,F,98,2013
Hunter,M,298,2013
Lucy,F,235,2013
Ali,M,138,2013
Molly,F,97,2013
William,M,639,2012
Ruby,F,564,2012
Braxton,M,192,2012
Hayley,F,133,2012
Lucas,M,571,2012
Charlotte,F,549,2012
