name,sex,births,year
Sophie,F,7087,1996
Chloe,F,6824,1996
Jessica,F,6711,1996
Emily,F,6415,1996
Lauren,F,6299,1996
Hannah,F,5916,1996
Charlotte,F,5866,1996
Rebecca,F,5828,1996
Amy,F,5206,1996
Megan,F,4948,1996
Shannon,F,4649,1996
Katie,F,4337,1996
Bethany,F,4271,1996
Emma,F,4232,1996
Lucy,F,3753,1996
Georgia,F,3723,1996
Laura,F,3582,1996
Sarah,F,3111,1996
Jade,F,2750,1996
Danielle,F,2641,1996
Abigail,F,2595,1996
Eleanor,F,2555,1996
Holly,F,2498,1996
Olivia,F,2456,1996
Alice,F,2357,1996
Elizabeth,F,2225,1996
Rachel,F,2105,1996
Paige,F,2052,1996
Molly,F,2026,1996
Ellie,F,1900,1996
Zoe,F,1897,1996
Samantha,F,1854,1996
Natasha,F,1751,1996
Chelsea,F,1735,1996
Leah,F,1705,1996
Nicole,F,1679,1996
Victoria,F,1627,1996
Alexandra,F,1595,1996
Georgina,F,1593,1996
Amber,F,1422,1996
Grace,F,1421,1996
Natalie,F,1393,1996
Jodie,F,1354,1996
Louise,F,1309,1996
Abbie,F,1297,1996
Melissa,F,1282,1996
Anna,F,1274,1996
Katherine,F,1266,1996
Stephanie,F,1266,1996
Gemma,F,1261,1996
Kayleigh,F,1206,1996
Courtney,F,1203,1996
Kirsty,F,1202,1996
Jennifer,F,1200,1996
Jasmine,F,1145,1996
Ella,F,1137,1996
Hayley,F,1088,1996
Ashleigh,F,1081,1996
Kate,F,1055,1996
Harriet,F,1046,1996
Lydia,F,1009,1996
Francesca,F,966,1996
Amelia,F,929,1996
Ellen,F,929,1996
Phoebe,F,910,1996
Caitlin,F,906,1996
Hollie,F,896,1996
Catherine,F,880,1996
Rosie,F,879,1996
Aimee,F,876,1996
Daisy,F,828,1996
Bethan,F,825,1996
Kimberley,F,799,1996
Kelly,F,789,1996
Naomi,F,766,1996
Sian,F,731,1996
Rachael,F,721,1996
Heather,F,713,1996
Demi,F,689,1996
Robyn,F,683,1996
Mollie,F,667,1996
Yasmin,F,661,1996
Beth,F,656,1996
Rhiannon,F,654,1996
Lily,F,651,1996
Kathryn,F,635,1996
Nicola,F,629,1996
Leanne,F,616,1996
Chantelle,F,609,1996
Claire,F,564,1996
Imogen,F,555,1996
Poppy,F,537,1996
Madeleine,F,536,1996
Isobel,F,522,1996
Sophia,F,516,1996
Maria,F,511,1996
Stacey,F,509,1996
Alicia,F,504,1996
Gabrielle,F,501,1996
Erin,F,486,1996
Jemma,F,480,1996
Isabelle,F,469,1996
Ruby,F,458,1996
Isabel,F,455,1996
Lisa,F,445,1996
Isabella,F,441,1996
Kelsey,F,438,1996
Helen,F,435,1996
Rebekah,F,424,1996
Tara,F,422,1996
Katy,F,413,1996
Faye,F,405,1996
Charlie,F,404,1996
Sara,F,404,1996
Toni,F,400,1996
Mia,F,397,1996
Tamara,F,397,1996
Freya,F,394,1996
Annie,F,389,1996
Niamh,F,381,1996
Ruth,F,381,1996
Annabel,F,380,1996
Mary,F,380,1996
Michaela,F,376,1996
Joanna,F,374,1996
Jordan,F,372,1996
Eve,F,369,1996
Alisha,F,363,1996
Bryony,F,362,1996
Lois,F,356,1996
Eloise,F,351,1996
Tia,F,349,1996
Tiffany,F,346,1996
Taylor,F,340,1996
Maisie,F,335,1996
Kerry,F,333,1996
Sasha,F,333,1996
Siobhan,F,332,1996
Aisha,F,328,1996
Millie,F,324,1996
Daniella,F,319,1996
Shauna,F,316,1996
Gabriella,F,313,1996
Sally,F,309,1996
Helena,F,308,1996
April,F,300,1996
Jasmin,F,299,1996
Amie,F,297,1996
Claudia,F,290,1996
Jenna,F,289,1996
Philippa,F,289,1996
Ashley,F,287,1996
Michelle,F,285,1996
Nadia,F,285,1996
Nikita,F,284,1996
Cara,F,282,1996
Fiona,F,278,1996
Abby,F,276,1996
Ciara,F,276,1996
Rhianna,F,276,1996
Alex,F,274,1996
Frances,F,274,1996
Lorna,F,274,1996
Sabrina,F,272,1996
Ayesha,F,271,1996
Brooke,F,269,1996
Hope,F,268,1996
Joanne,F,265,1996
Zara,F,265,1996
Amanda,F,264,1996
Josephine,F,262,1996
Charley,F,256,1996
Christina,F,256,1996
Lara,F,255,1996
Elise,F,253,1996
Morgan,F,252,1996
Katrina,F,251,1996
Elle,F,250,1996
Abbey,F,249,1996
India,F,245,1996
Rose,F,244,1996
Billie,F,242,1996
Caroline,F,242,1996
Elisha,F,240,1996
Simran,F,240,1996
Brittany,F,238,1996
Carly,F,235,1996
Louisa,F,235,1996
Sadie,F,235,1996
Antonia,F,234,1996
Esther,F,231,1996
Carla,F,230,1996
Savannah,F,230,1996
Florence,F,228,1996
Annabelle,F,225,1996
Kirsten,F,225,1996
Kiera,F,221,1996
Jamie,F,220,1996
Carys,F,217,1996
Clare,F,216,1996
Casey,F,215,1996
Elena,F,213,1996
Vanessa,F,213,1996
Polly,F,212,1996
Keeley,F,209,1996
Summer,F,203,1996
Deanna,F,202,1996
Sinead,F,202,1996
Ffion,F,201,1996
Shelby,F,201,1996
Ebony,F,200,1996
Matilda,F,200,1996
Shanice,F,200,1996
Martha,F,198,1996
Josie,F,197,1996
Scarlett,F,195,1996
Jessie,F,194,1996
Heidi,F,193,1996
Rhian,F,192,1996
Libby,F,191,1996
Georgie,F,190,1996
Madeline,F,188,1996
Chelsey,F,184,1996
Julia,F,184,1996
Alison,F,181,1996
Kira,F,181,1996
Kathleen,F,179,1996
Jemima,F,177,1996
Maryam,F,176,1996
Tyler,F,175,1996
Mariam,F,171,1996
Saskia,F,171,1996
Alana,F,170,1996
Fern,F,170,1996
Madison,F,169,1996
Tanya,F,169,1996
Dana,F,167,1996
Evie,F,167,1996
Melanie,F,166,1996
Saffron,F,166,1996
Brogan,F,165,1996
Nadine,F,165,1996
Shona,F,165,1996
Chelsie,F,161,1996
Miriam,F,161,1996
Kirstie,F,160,1996
Nina,F,159,1996
Selina,F,158,1996
Simone,F,158,1996
Paris,F,157,1996
Nancy,F,156,1996
Zainab,F,154,1996
Fatima,F,153,1996
Amina,F,151,1996
Kara,F,148,1996
Eliza,F,147,1996
Jenny,F,147,1996
Becky,F,146,1996
Maya,F,145,1996
Adele,F,144,1996
Bethanie,F,144,1996
Connie,F,144,1996
Katharine,F,144,1996
Liberty,F,144,1996
Rosemary,F,144,1996
Angharad,F,141,1996
Hazel,F,141,1996
Meghan,F,141,1996
Serena,F,139,1996
Layla,F,138,1996
Eva,F,137,1996
Tamsin,F,137,1996
Eden,F,136,1996
Elinor,F,136,1996
Leonie,F,136,1996
Lucie,F,136,1996
Terri,F,136,1996
Esme,F,135,1996
